group,subset,method_key,method,tree_idx,normalized_rf,bsd
Amphibians,2,no_mcs,No MCS,23,0.8113207547169812,0.4207567753559256
Amphibians,2,no_mcs,No MCS,24,0.7547169811320755,0.33477336535180136
Amphibians,2,no_mcs,No MCS,25,0.7735849056603774,0.3097922239357599
Amphibians,2,no_mcs,No MCS,26,0.7735849056603774,0.40499532676940586
Amphibians,2,no_mcs,No MCS,27,0.7358490566037735,0.2961746173259211
Amphibians,2,no_mcs,No MCS,28,0.8679245283018868,0.3978105099599236
Amphibians,2,no_mcs,No MCS,29,0.8113207547169812,0.35044492044974296
Amphibians,2,no_mcs,No MCS,30,0.7924528301886793,0.3667355834588349
Amphibians,2,supertree,Supertree-based,1,0.6981132075471698,0.32248232017449713
Amphibians,2,supertree,Supertree-based,2,0.7358490566037735,0.2792096937888269
Amphibians,2,supertree,Supertree-based,3,0.8113207547169812,0.37241829053482994
Amphibians,2,supertree,Supertree-based,4,0.6792452830188679,0.24991555173522637
Amphibians,2,supertree,Supertree-based,5,0.5849056603773585,0.29214339231330577
Amphibians,2,supertree,Supertree-based,6,0.6792452830188679,0.3112784976209208
Amphibians,2,supertree,Supertree-based,7,0.7358490566037735,0.2985397317552855
Amphibians,2,supertree,Supertree-based,8,0.7169811320754716,0.32188283712715626
Amphibians,2,supertree,Supertree-based,9,0.7924528301886793,0.3391454122051379
Amphibians,2,supertree,Supertree-based,10,0.7924528301886793,0.28205335707275675
Amphibians,2,supertree,Supertree-based,11,0.7169811320754716,0.30160035227241033
Amphibians,2,supertree,Supertree-based,12,0.8867924528301887,0.3189649459301668
Amphibians,2,supertree,Supertree-based,13,0.6981132075471698,0.34594731466091266
Amphibians,2,supertree,Supertree-based,14,0.7924528301886793,0.35418964264195035
Amphibians,2,supertree,Supertree-based,15,0.8113207547169812,0.4088847374727059
Amphibians,2,supertree,Supertree-based,16,0.8113207547169812,0.34701394528306323
Amphibians,2,supertree,Supertree-based,17,0.8113207547169812,0.3644381394522519
Amphibians,2,supertree,Supertree-based,18,0.6981132075471698,0.24817246811268412
Amphibians,2,supertree,Supertree-based,19,0.7547169811320755,0.3453900694192831
Amphibians,2,supertree,Supertree-based,20,0.6792452830188679,0.21621898374340237
Amphibians,2,supertree,Supertree-based,21,0.9056603773584906,0.41973243225292695
Amphibians,2,supertree,Supertree-based,22,0.7169811320754716,0.3299579827836894
Amphibians,2,supertree,Supertree-based,23,0.8113207547169812,0.40166338071009194
Amphibians,2,supertree,Supertree-based,24,0.7169811320754716,0.3129608542961586
Amphibians,2,supertree,Supertree-based,25,0.7358490566037735,0.2822982122985307
Amphibians,2,supertree,Supertree-based,26,0.6981132075471698,0.3119072808643968
Amphibians,2,supertree,Supertree-based,27,0.7358490566037735,0.3063341913239263
Amphibians,2,supertree,Supertree-based,28,0.8490566037735849,0.3768765484165242
Amphibians,2,supertree,Supertree-based,29,0.6226415094339622,0.2714436094556344
Amphibians,2,supertree,Supertree-based,30,0.7924528301886793,0.3588952410133115
Amphibians,3,original,Proposed,1,0.13793103448275862,0.23035803165878502
Amphibians,3,original,Proposed,2,0.15517241379310345,0.3121003155976445
Amphibians,3,original,Proposed,3,0.2413793103448276,0.1917906131807887
Amphibians,3,original,Proposed,4,0.3275862068965517,0.2587451502166477
Amphibians,3,original,Proposed,5,0.1896551724137931,0.17970462627320546
Amphibians,3,original,Proposed,6,0.13793103448275862,0.1664437134754573
Amphibians,3,original,Proposed,7,0.2413793103448276,0.2621671902558037
